@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6'

@attribute Instance_number numeric
@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
418,2.840802,1.146723,-1.347513,0.749129,cluster1,0
419,-3.45322,0.582762,0.260014,0.614576,cluster0,1
420,-2.500339,0.422516,0.401692,-0.32771,cluster0,1
421,0.657581,1.160738,-1.057517,1.036996,cluster0,1
422,-1.038945,1.089129,-0.418741,-0.191331,cluster1,0
423,-0.427393,1.262045,-0.929949,-0.9582,cluster0,1
424,2.836949,-1.73333,2.749257,1.043853,cluster0,1
425,0.972545,-0.532557,1.599423,-1.167386,cluster1,0
426,1.728795,0.686656,-0.467722,0.415542,cluster1,0
427,-1.438749,-1.34709,1.364493,1.782477,cluster1,0
428,3.303382,-0.513757,1.027178,1.001256,cluster0,1
429,2.105251,1.101231,-1.164323,-0.808138,cluster0,1
430,1.063582,1.062914,-1.121719,-1.6055,cluster0,1
431,2.919361,0.707083,-0.428858,0.208283,cluster0,1
432,1.495991,0.441003,0.049744,-0.379208,cluster1,0
433,2.111923,1.05602,-0.838818,-1.993778,cluster1,0
434,-2.135616,0.956524,-0.103963,-1.067663,cluster0,1
435,-4.662512,0.723753,0.540223,0.047444,cluster0,1
436,2.56641,1.038044,-0.750177,-1.484062,cluster1,0
437,2.814724,1.334576,-1.467262,-1.319919,cluster0,1
438,1.854023,1.115753,-1.233378,0.91642,cluster0,1
439,3.071167,1.023346,-1.098645,0.152919,cluster1,0
440,-3.416216,0.776944,0.560161,-0.976185,cluster1,0
441,1.476716,-1.279458,-1.502336,0.054942,cluster0,1
442,-4.137726,0.945795,0.543532,-2.084091,cluster0,1
443,-2.375322,0.395019,0.618587,1.085234,cluster0,1
444,2.371569,0.874373,-0.893709,-0.06675,cluster1,0
445,-1.193729,1.558581,-1.002341,0.375978,cluster1,0
446,0.094121,-9.302845,0.13321,-1.171751,cluster0,1
447,1.498811,1.364587,-1.553658,0.277798,cluster1,0
448,3.281611,-2.319065,3.610488,-0.127629,cluster0,1
449,1.542723,1.306684,-1.411598,0.587848,cluster0,1
450,0.231659,-0.488541,-0.055547,-0.208774,cluster0,1
451,2.672313,0.835307,-0.998915,1.269161,cluster0,1
452,2.538624,-0.409988,0.72301,3.025283,cluster1,0
453,-1.26616,0.503024,0.406186,0.017986,cluster1,0
454,-0.171718,-0.225977,1.045195,1.867949,cluster0,1
455,-2.303237,0.614577,0.300701,0.648141,cluster1,0
456,2.579251,-2.096079,2.860719,-0.079535,cluster0,1
457,-0.970634,-0.000168,0.527701,1.455155,cluster1,0
458,1.23835,0.766534,-0.360495,-0.723759,cluster1,0
459,-1.747628,0.550836,0.141387,-0.145695,cluster1,0
460,0.077412,1.247577,-0.991469,-0.712874,cluster1,0
461,-2.111433,-0.044756,1.133272,0.494473,cluster1,0
462,-1.325996,1.312168,-0.819726,0.667727,cluster1,0
463,2.557302,-0.240472,0.536954,0.318614,cluster1,0
464,-2.656792,0.30473,0.829956,0.177463,cluster1,0
465,-1.949134,0.338909,0.502689,0.838381,cluster1,0
466,2.299039,1.379013,-1.657901,-0.538813,cluster0,1
467,-2.274472,-0.681416,0.761781,0.969792,cluster1,0
468,2.544051,0.241106,0.111915,0.006352,cluster1,0
469,2.975309,-0.166366,0.410993,-0.427256,cluster1,0
470,1.59043,0.698644,-0.357404,-1.667673,cluster0,1
471,2.626643,-0.470281,0.862171,1.28167,cluster0,1
472,-2.297084,0.673557,0.346473,-1.235573,cluster0,1
473,-1.52442,-0.934389,2.013295,1.699005,cluster1,0
474,-3.654599,0.648913,-0.686261,3.449336,cluster0,1
475,0.244665,0.075224,0.671117,-2.104052,cluster0,1
476,2.32649,0.846156,-0.650776,-0.879944,cluster0,1
477,1.30286,1.212545,-1.390205,-0.460094,cluster0,1
478,0.309823,1.438528,-1.579284,2.192497,cluster0,1
479,2.69631,-2.248086,2.037447,-0.187228,cluster0,1
480,-0.584367,0.284713,0.593985,-0.75367,cluster1,0
481,-0.01047,1.470671,-1.306435,0.685931,cluster1,0
482,-1.265439,1.23863,-0.595223,-1.419269,cluster1,0
483,-3.812592,0.687039,0.490455,-0.722638,cluster1,0
484,-2.75166,-0.426208,0.227182,-0.984953,cluster0,1
485,-3.596255,0.802028,0.415722,-0.676562,cluster0,1
486,2.18916,0.496744,-0.209124,-0.844904,cluster0,1
487,2.204781,1.231027,-1.47083,0.037863,cluster1,0
488,-3.331447,0.019148,0.993277,0.77455,cluster1,0
489,2.5257,-0.228108,0.954043,-1.636324,cluster0,1
490,2.567085,-1.738289,1.606555,-0.807728,cluster1,0
491,0.576122,1.232996,-1.272945,1.833818,cluster1,0
492,-2.144289,1.110997,-0.259134,0.34552,cluster1,0
493,2.581754,1.450982,-1.650886,-0.672515,cluster0,1
494,-1.420971,0.328944,0.005125,0.952595,cluster0,1
495,2.952383,0.990093,-0.999502,-0.222213,cluster1,0
496,2.25489,0.985109,-0.938865,-1.377992,cluster0,1
497,0.320101,0.172359,0.793175,-1.709465,cluster0,1
498,2.473108,-1.16886,1.251245,-0.126254,cluster0,1
499,-0.511365,-0.202879,1.182429,-1.121311,cluster0,1
500,3.826999,-0.56479,0.472036,-0.738607,cluster1,0
501,-0.132372,-2.48779,1.942161,-0.452765,cluster0,1
502,-3.214628,0.589557,0.436687,-0.333922,cluster0,1
503,1.291269,-1.410022,1.87733,0.077456,cluster1,0
504,-0.8822,-1.212501,1.760936,-0.083055,cluster1,0
505,-2.338322,0.10671,-0.465247,0.296741,cluster0,1
506,-5.359657,-5.032938,-3.457217,-0.384994,cluster0,1
507,0.375034,-2.551446,3.099386,2.583429,cluster0,1
508,-3.872308,-0.408979,-1.048312,1.456597,cluster0,1
509,2.919692,0.267188,0.131112,-0.231204,cluster0,1
510,-1.17106,1.226266,-0.755825,0.54998,cluster1,0
511,-3.309702,-5.406053,0.34926,1.354755,cluster0,1
512,-3.663541,1.026956,-0.078988,0.276998,cluster1,0
513,0.372697,-2.873857,1.42492,-0.980845,cluster0,1
514,1.931455,0.821069,-0.685865,-1.385851,cluster1,0
515,-2.088101,0.980674,-0.21797,-0.650619,cluster1,0
516,0.664349,0.297876,-0.518716,0.239986,cluster0,1
517,-0.285438,0.877633,-0.546212,0.890124,cluster0,1
518,-1.138026,1.066842,-0.610839,0.610202,cluster1,0
519,-2.490474,1.217066,-0.331283,-0.643716,cluster1,0
520,1.275371,-0.291444,-0.065379,-0.344728,cluster0,1
521,-2.931309,1.144768,-0.481446,0.67158,cluster0,1
522,-3.497887,0.705425,0.420871,1.032113,cluster0,1
523,1.167875,0.281744,-0.378244,2.657603,cluster1,0
524,1.878146,0.215986,0.285942,-1.921387,cluster0,1
525,1.615171,0.958284,-0.729884,-1.566983,cluster1,0
526,-5.184561,1.034906,-0.103446,2.300833,cluster0,1
527,1.840387,0.369411,0.224785,-1.144989,cluster0,1
528,-0.770145,1.279545,-0.917018,1.136681,cluster0,1
529,2.075291,1.049053,-0.948012,-1.059047,cluster0,1
530,2.698338,0.148925,0.264476,0.273206,cluster1,0
531,-2.038549,0.298912,0.328015,1.462438,cluster1,0
532,2.360053,-0.334871,0.910632,-0.711656,cluster0,1
533,2.911216,0.83173,-0.967179,1.034014,cluster1,0
534,-2.472552,0.675649,-0.295475,2.804807,cluster0,1
535,1.69919,1.082532,-1.071234,0.514187,cluster1,0
536,2.036843,0.592136,-0.362504,-1.197353,cluster0,1
537,-4.089332,0.655759,0.671727,-1.07746,cluster1,0
538,2.998985,0.382005,-0.534365,0.551978,cluster0,1
539,0.374783,-2.602814,-1.525286,-0.831875,cluster0,1
540,-1.323048,1.181904,-0.584854,-0.419991,cluster1,0
541,-1.471164,0.887209,-0.296632,-1.18071,cluster0,1
542,2.494211,0.41367,-0.266518,-0.053769,cluster0,1
543,-5.549932,0.200014,1.469817,0.383681,cluster1,0
544,-1.022882,1.225717,-0.777127,-0.630581,cluster0,1
545,0.15092,1.224418,-0.875047,-1.063925,cluster0,1
546,2.505039,0.898459,-0.918374,2.631695,cluster1,0
547,2.133096,0.914278,-0.942921,1.949655,cluster0,1
548,1.609446,-0.060644,0.315468,1.268346,cluster1,0
549,-0.438355,0.872129,-0.428858,-0.836809,cluster0,1
550,-2.526655,0.5532,0.327926,0.286141,cluster1,0
551,-3.043016,-0.452183,1.425583,0.13467,cluster0,1
552,-3.647819,0.832398,0.261701,0.467463,cluster0,1
553,1.458595,1.442471,-1.486998,1.754631,cluster0,1
554,2.593995,-0.125362,0.273847,0.336859,cluster1,0
555,-0.797637,0.191913,0.676879,-0.221327,cluster1,0
556,0.321279,1.502302,-1.257312,0.059965,cluster1,0
557,1.459869,0.276222,0.061558,-0.615338,cluster1,0
558,1.840671,-1.477482,1.251027,-0.47906,cluster1,0
559,2.781121,-0.134713,0.616028,0.345362,cluster1,0
560,-6.044451,0.483355,1.063824,-0.449397,cluster0,1
561,1.506278,-1.545261,2.350614,-0.659267,cluster0,1
562,-5.241273,0.712738,0.745666,-0.822251,cluster0,1
563,1.931476,-0.805753,1.163943,-1.007507,cluster1,0
564,-3.663518,0.880181,-0.012017,1.866244,cluster0,1
565,2.016055,0.751716,-0.636044,-0.344277,cluster1,0
566,-1.436053,-0.500772,1.309244,0.019694,cluster1,0
567,1.931633,1.340513,-1.546953,-0.06382,cluster0,1
568,1.816261,-0.454309,1.285798,-1.393677,cluster0,1
569,2.490656,1.976509,-3.106448,3.230151,cluster1,0
570,1.996024,0.171278,-1.083354,-0.597143,cluster0,1
571,4.251386,-0.906016,1.788749,0.30973,cluster1,0
572,-0.261433,-1.015116,-1.234069,0.681181,cluster0,1
573,-0.704556,0.971436,-0.493272,-0.269337,cluster0,1
574,-1.264312,1.136498,-0.650962,0.364719,cluster0,1
575,-6.699636,-6.281133,-0.653009,-0.766781,cluster0,1
576,-0.190811,-2.077812,3.205725,-0.767811,cluster0,1
577,1.729295,1.367373,-1.613459,1.177247,cluster1,0
578,3.469363,0.754802,-0.587597,-0.88298,cluster1,0
579,1.839877,0.268489,-0.123357,0.542513,cluster1,0
580,-0.43234,0.033294,0.528065,1.193521,cluster1,0
581,0.156732,0.120414,0.472205,-0.736952,cluster1,0
582,-1.79631,0.85175,0.036322,-0.928254,cluster1,0
583,2.021786,-0.344229,1.07609,0.188431,cluster1,0
584,-1.452187,-0.567319,0.4738,0.805015,cluster1,0
585,-5.6809,-1.240467,-0.896803,-1.507131,cluster0,1
586,-1.385741,0.744044,-0.110191,0.162905,cluster1,0
587,2.093034,0.408529,-0.075558,-1.516581,cluster0,1
588,-5.129805,0.785498,0.735118,-0.551217,cluster0,1
589,-4.515912,-2.251516,-0.864767,-1.002909,cluster0,1
590,4.19533,-2.448408,3.46562,1.301998,cluster1,0
591,-3.495524,1.020175,0.229929,0.783543,cluster0,1
592,-1.022826,0.927075,-0.131786,0.274826,cluster1,0
593,0.211804,-1.940532,1.739345,0.875324,cluster0,1
594,-2.666548,-7.199225,-5.11429,-1.169546,cluster0,1
595,-1.964262,-0.049463,0.969349,-0.381145,cluster0,1
596,-3.434869,1.125416,0.072697,-1.207173,cluster0,1
597,1.906434,-1.65338,0.646909,-0.444956,cluster0,1
598,1.795306,0.527372,-0.355792,0.248046,cluster1,0
599,-1.303403,1.139015,-0.573597,-0.293867,cluster1,0
600,-1.866435,-0.27947,1.54694,-0.511047,cluster1,0
601,3.341115,0.938052,-0.854375,-0.886353,cluster1,0
602,-1.165261,0.212773,0.515702,-0.572163,cluster1,0
603,1.783929,1.252087,-1.394632,0.807637,cluster1,0
604,-3.10597,0.968497,-0.304888,0.820279,cluster0,1
605,2.700762,-1.081639,1.223011,0.932582,cluster1,0
606,2.633915,0.355426,-0.030153,-2.206567,cluster1,0
607,0.751339,-2.367254,2.213202,-1.70751,cluster0,1
608,2.023114,1.071489,-1.051901,-0.472722,cluster1,0
609,2.578716,1.293578,-1.250478,-1.090366,cluster0,1
610,1.272479,1.272026,-1.205405,-0.420957,cluster0,1
611,-0.099835,1.293487,-0.841504,-0.743766,cluster1,0
612,1.433274,1.245192,-1.188118,-0.386617,cluster1,0
613,-2.340374,1.258448,-0.300947,-1.360938,cluster1,0
614,2.498075,-0.045483,0.251563,-0.757624,cluster1,0
615,-2.88318,0.684296,0.311349,-0.366885,cluster0,1
616,-0.541142,1.164513,-0.88116,0.511071,cluster1,0
617,-2.715071,0.050801,0.675748,2.336291,cluster1,0
618,2.572346,-1.639488,2.211908,-0.570293,cluster1,0
619,0.786207,1.096771,-1.038772,1.640573,cluster0,1
620,2.335602,0.024696,0.368404,1.48918,cluster0,1
621,-2.341742,1.046096,-0.225259,-0.199764,cluster0,1
622,-1.234415,0.077158,1.024788,0.665065,cluster1,0
623,2.873806,-0.715901,0.917545,-0.782175,cluster1,0
624,2.670592,-1.045005,1.122249,0.325391,cluster1,0
625,2.254359,1.127781,-1.059963,-0.92262,cluster0,1
626,2.214116,0.62415,-0.600637,0.643308,cluster1,0
627,-3.043016,-0.452183,1.425583,0.13467,cluster0,1
628,2.448003,-2.74487,2.539992,0.742751,cluster0,1
629,0.961381,1.229958,-0.993989,-0.341117,cluster0,1
630,2.341702,-0.328885,-0.517272,2.450989,cluster0,1
631,3.306599,-5.59165,6.475343,0.619872,cluster0,1
632,2.761084,0.820767,-0.827742,-0.133631,cluster1,0
633,3.031749,0.944127,-1.054309,-0.831618,cluster0,1
634,3.604556,-0.57576,1.281942,-1.407526,cluster1,0
635,0.419395,1.219411,-1.022764,0.140244,cluster1,0
636,-0.03631,1.175371,-0.897078,0.050854,cluster1,0
637,-1.364204,0.69048,-1.16517,0.797265,cluster0,1
638,2.62231,1.062451,-1.099953,-0.195722,cluster1,0
639,0.653626,-2.135365,3.356098,-0.838234,cluster0,1
640,1.845695,0.776959,-0.38949,-1.502862,cluster1,0
641,2.621505,-0.182358,0.492503,0.888712,cluster1,0
642,2.740122,1.160869,-1.253702,-0.733475,cluster1,0
643,-1.797811,-0.00526,0.750414,-0.070868,cluster1,0
644,-1.614724,-0.426705,0.487361,1.252601,cluster1,0
645,0.498831,-3.558014,-0.311572,-0.218309,cluster0,1
646,0.070093,0.033338,0.961141,-1.012053,cluster0,1
647,2.224614,0.145827,-0.078783,0.058565,cluster1,0
648,-5.785503,0.690595,1.170537,-0.829596,cluster0,1
649,-4.398504,0.739968,0.233873,-0.500609,cluster0,1
650,-3.39487,1.181731,-0.169493,-0.274838,cluster0,1
651,-1.72591,0.777975,-0.488158,1.261007,cluster0,1
652,2.24476,-1.154962,1.987079,-1.173619,cluster0,1
653,0.513591,1.088368,-0.942266,0.667364,cluster0,1
654,-3.486882,0.932173,0.018453,-0.011995,cluster1,0
655,-1.860292,-1.217235,0.725674,-0.022017,cluster1,0
656,1.658544,-0.664006,1.416237,0.416993,cluster0,1
657,0.376733,1.257295,-1.02308,-0.686547,cluster1,0
658,-0.065799,0.742031,-0.412222,0.600683,cluster0,1
659,-1.939245,1.234663,-0.502408,-0.990868,cluster1,0
660,-2.221778,-1.616673,0.614415,-0.761891,cluster0,1
661,2.878987,0.148555,0.58473,-1.829245,cluster1,0
662,2.157698,-0.61839,1.275279,0.141331,cluster0,1
663,2.392179,0.380515,-0.798104,3.40243,cluster0,1
664,2.771839,1.761646,-2.033973,-0.359511,cluster1,0
665,3.446418,-0.715244,1.551946,-1.535072,cluster1,0
666,2.548275,1.246787,-1.260523,-1.086438,cluster1,0
667,0.83605,1.103805,-1.170374,1.195059,cluster1,0
668,-1.884047,0.82853,-0.117869,0.205688,cluster0,1
669,-3.837094,-0.930276,0.7767,-0.105044,cluster0,1
670,2.217123,-2.787559,3.012974,0.651147,cluster0,1
671,-2.038435,1.013778,-0.068075,-1.559526,cluster0,1
672,2.644725,1.246938,-1.312777,-0.66453,cluster1,0
673,2.730613,-8.953738,9.55048,0.836742,cluster1,0
674,2.754363,1.169078,-1.315779,0.125587,cluster0,1
675,2.517948,0.009403,0.235518,-0.098658,cluster0,1
676,2.347721,1.248281,-1.193568,-1.74687,cluster1,0
677,-2.004963,0.421166,0.455995,0.91276,cluster1,0
678,1.338913,-1.54506,0.064164,-0.447592,cluster0,1
679,3.26874,0.893367,-0.784789,-1.01796,cluster0,1
680,-3.894543,1.024814,-0.027507,-1.034285,cluster0,1
681,-1.442925,-0.08741,0.810368,-1.463602,cluster1,0
682,-0.166147,-4.756062,-1.84346,0.521149,cluster0,1
683,2.230278,-0.132301,-1.673284,-0.534663,cluster0,1
684,-2.03728,1.073968,-0.439595,1.552674,cluster0,1
685,1.969512,0.843992,-0.575067,-0.501744,cluster1,0
686,0.51286,-1.730084,1.284983,-1.41105,cluster0,1
687,-3.190646,0.017013,0.814332,1.603666,cluster0,1
688,-1.625299,1.03926,-0.348653,0.19973,cluster1,0
689,1.376383,0.565065,-0.232794,0.128216,cluster0,1
690,1.453161,0.569611,-1.270876,-0.537594,cluster0,1
691,-0.723552,-2.323508,2.666014,-0.312989,cluster1,0
692,-0.089662,-0.510925,1.188278,0.754723,cluster0,1
693,1.075804,-1.083557,1.269736,-0.595377,cluster1,0
694,0.438849,1.843454,-2.65415,1.996533,cluster1,0
695,2.449858,0.727669,-0.687465,-0.150785,cluster1,0
696,2.043556,-0.130936,0.688011,0.750393,cluster0,1
697,-0.625854,-2.674316,1.364653,-0.938373,cluster0,1
698,2.554742,0.209723,-0.185031,-0.25611,cluster1,0
699,2.81995,-1.783348,2.226171,1.219194,cluster0,1
700,1.435076,0.512915,-0.04519,-0.717007,cluster0,1
701,1.389958,-0.336937,0.706346,1.802696,cluster1,0
702,-0.968243,1.136563,-1.091862,2.997728,cluster0,1
703,-0.837484,1.269134,-1.044168,1.823966,cluster0,1
704,-2.527359,0.434649,0.407637,-0.331632,cluster0,1
705,-1.586409,-0.004249,0.84323,1.418827,cluster1,0
706,-3.026997,-1.373382,0.220024,1.533822,cluster0,1
707,1.474841,1.111586,-1.03536,-0.433983,cluster0,1
708,-0.427393,1.262045,-0.929949,-0.9582,cluster0,1
709,3.15586,-0.032539,0.333661,0.316791,cluster1,0
710,0.33567,1.41992,-1.308305,0.829706,cluster0,1
711,1.55857,1.186301,-1.220806,1.543989,cluster1,0
712,2.870608,0.798938,-0.809358,-0.886352,cluster1,0
713,-2.771544,0.689696,0.280924,-0.366818,cluster0,1
714,0.149502,1.272067,-0.921341,-0.944752,cluster1,0
715,1.553047,-1.76124,1.805274,1.066067,cluster0,1
716,-0.818895,-0.062588,0.70039,1.067142,cluster1,0
717,-0.65942,-3.208583,1.340723,-0.111088,cluster1,0
718,2.295769,0.727331,-0.546133,-0.764568,cluster1,0
719,-0.067201,0.226034,0.374551,0.260861,cluster1,0
720,-0.81121,1.196441,-0.71034,-1.092697,cluster0,1
721,-1.630319,1.259082,-0.54959,-1.061209,cluster0,1
722,2.27371,1.367635,-1.476082,-1.185034,cluster1,0
723,2.641408,-0.931112,1.641687,-0.784997,cluster0,1
724,-0.779147,1.024942,-0.509395,-0.607329,cluster1,0
725,2.387926,1.555183,-1.837966,-0.415977,cluster0,1
726,2.961317,-1.898599,3.118286,-0.549218,cluster1,0
727,1.339464,1.74965,-1.972343,0.911015,cluster0,1
728,3.000996,-0.276401,0.87125,-1.678316,cluster0,1
729,-4.074981,0.240514,0.855864,-0.874908,cluster0,1
730,-4.627663,-0.678994,-0.591082,0.445447,cluster0,1
731,-0.440042,1.235006,-0.908597,0.046805,cluster0,1
732,-2.297616,0.739076,0.054465,1.13173,cluster1,0
733,1.460918,0.952912,-0.707904,-1.265216,cluster0,1
734,-1.956066,-1.278884,2.273096,0.128093,cluster0,1
735,-1.254348,0.739782,0.085937,0.098976,cluster1,0
736,-5.203567,0.662623,0.801928,-0.354383,cluster1,0
737,-1.191981,0.841437,-0.145511,0.131165,cluster1,0
738,3.237077,-0.513221,0.5791,-2.170599,cluster0,1
739,2.065611,0.039668,0.131788,0.027844,cluster1,0
740,-1.244256,1.088956,-0.500794,-0.161026,cluster0,1
741,2.423818,0.412904,-0.417996,1.265884,cluster1,0
742,0.547466,1.363826,-1.461891,2.100897,cluster0,1
743,3.41638,0.886294,-1.109211,1.582944,cluster1,0
744,2.458603,-0.167375,0.717408,1.044061,cluster1,0
745,2.305751,0.301161,-0.180223,1.391167,cluster0,1
746,-2.210739,0.908832,0.005938,-1.074665,cluster1,0
747,-0.761166,1.03822,-0.587831,0.760421,cluster1,0
748,2.572385,0.547477,-0.201312,0.897185,cluster0,1
749,1.817923,1.2274,-1.332046,0.751972,cluster1,0
750,2.06109,0.87275,-0.644715,-1.576483,cluster0,1
751,-2.968565,0.936155,0.152022,-0.735563,cluster1,0
752,-2.014137,0.515842,0.689815,-0.579617,cluster1,0
753,-0.032445,1.159101,-0.861434,0.042231,cluster0,1
754,3.183106,1.103556,-1.388892,-0.060113,cluster1,0
755,-0.87602,1.345607,-0.790737,-0.988662,cluster1,0
756,-0.799089,1.165954,-0.785491,0.868463,cluster1,0
757,-3.326836,0.792745,0.475296,-1.319267,cluster0,1
758,1.640588,0.581739,-0.737474,-2.074457,cluster1,0
759,-0.191335,0.429091,0.45031,-1.219528,cluster0,1
760,-1.761759,0.176997,0.625299,0.707161,cluster1,0
761,-1.514027,1.179333,-0.740258,1.132452,cluster1,0
762,-3.446063,0.945958,-0.093166,1.546636,cluster0,1
763,-0.276687,0.814918,-0.448187,-0.002396,cluster0,1
764,1.191825,-2.844857,3.694482,0.631042,cluster0,1
765,0.191639,1.534762,-1.339606,0.299482,cluster1,0
766,-2.337961,1.175528,-0.465303,0.721273,cluster1,0
767,-2.164542,1.251933,-0.519248,-0.709834,cluster1,0
768,-1.629054,1.007979,-0.158027,-0.643466,cluster0,1
769,2.778724,1.543437,-2.020614,0.988195,cluster1,0
770,2.017647,0.933158,-0.554706,-1.794091,cluster0,1
771,3.102958,-2.062695,2.20081,0.177471,cluster1,0
772,2.324693,1.010617,-0.904017,-1.035097,cluster0,1
773,-3.301342,1.281673,-0.228357,-1.121667,cluster0,1
774,1.565137,0.075069,0.541611,-2.21882,cluster0,1
775,1.053402,-2.988658,-2.409984,-1.461985,cluster0,1
776,1.006913,0.67679,-0.471967,-0.386641,cluster1,0
777,-2.915302,1.069359,-0.237856,0.613579,cluster1,0
778,2.313997,0.892414,-0.638096,-1.988413,cluster1,0
779,-1.070589,-2.956719,3.014612,-0.453407,cluster0,1
780,-3.679092,1.031142,0.021875,-0.345087,cluster0,1
781,2.18674,-1.40274,2.371269,-0.569577,cluster0,1
782,-1.344284,0.890947,-0.617373,-0.877028,cluster0,1
783,-1.789089,0.713929,-0.112701,-1.022573,cluster1,0
784,-1.353812,0.864214,-0.090429,-0.987181,cluster0,1
785,-1.370991,0.802923,0.039179,-0.374889,cluster1,0
786,-0.54043,-0.639025,0.176411,-0.781562,cluster0,1
787,3.697422,-0.788938,1.239864,0.023704,cluster1,0
788,-4.448683,0.799996,0.395229,-1.218008,cluster0,1
789,1.923751,1.167175,-0.90857,-2.385397,cluster0,1
790,3.777274,-9.244612,8.034934,0.384899,cluster1,0
791,1.996513,0.288602,-0.897134,-0.806555,cluster1,0
792,-1.891539,0.467634,0.363034,0.311244,cluster1,0
793,-1.045339,-0.75555,2.34646,0.711706,cluster0,1
794,1.621726,0.077649,0.519252,-0.424319,cluster1,0
795,0.068886,0.548252,-0.213214,1.466152,cluster1,0
796,-4.305919,-0.872261,1.12358,2.084189,cluster1,0
797,-1.726378,-0.270696,1.0083,-0.771423,cluster1,0
798,3.313405,-1.856777,3.201966,-0.357017,cluster0,1
799,-3.334919,-0.128506,0.539575,0.096242,cluster0,1
800,-5.124801,-3.137234,-1.707787,0.656361,cluster0,1
801,2.904079,0.852213,-0.696089,0.046537,cluster1,0
802,1.333605,0.47102,-1.676334,-0.032603,cluster0,1
803,3.209346,-0.149201,0.549324,-0.72196,cluster1,0
804,-4.291736,0.947159,0.00695,2.073552,cluster0,1
805,-0.815509,1.235893,-0.849145,-0.011973,cluster0,1
806,2.019629,-1.448451,2.665079,1.332272,cluster0,1
807,4.252303,-1.9497,3.083863,0.123888,cluster0,1
808,1.888312,-2.162231,3.589779,-0.504321,cluster0,1
809,-5.091998,0.516782,0.947905,-1.4365,cluster0,1
810,2.343823,0.092164,0.178978,1.025004,cluster0,1
811,-1.266768,-0.006029,0.636523,1.058774,cluster0,1
812,-2.778446,0.922454,-0.013904,0.072652,cluster1,0
813,2.140892,-0.305271,0.939289,-0.763643,cluster1,0
814,-1.059989,-4.288704,-1.117042,1.560313,cluster0,1
815,-3.098224,0.716019,-0.575981,0.901348,cluster0,1
816,1.608284,0.554706,-0.390925,1.75368,cluster0,1
817,3.21946,1.023243,-1.144629,-0.971095,cluster1,0
818,2.800973,0.763256,-0.551517,-1.761103,cluster1,0
819,3.763334,0.485627,-0.21023,0.314643,cluster1,0
820,1.399598,-0.148271,0.587768,0.063707,cluster0,1
821,-0.84285,0.390144,0.449535,-0.606814,cluster1,0
822,2.139178,0.094861,0.127585,0.110945,cluster1,0
823,-3.439924,0.944565,0.33003,-1.202843,cluster1,0
824,-3.901563,0.920681,0.004011,-0.084657,cluster0,1
825,1.894176,0.740441,-0.368328,-1.038779,cluster1,0
826,-0.509164,1.326677,-0.868071,-1.021176,cluster0,1
827,0.84868,-5.217007,-2.787507,-1.006202,cluster0,1
828,2.686397,0.9982,-1.123504,1.034779,cluster1,0
829,2.356227,-0.628038,0.773289,2.826752,cluster1,0
830,-5.896539,0.847641,0.838112,-1.229606,cluster1,0
831,-1.7967,0.977855,-0.306354,-0.541113,cluster1,0
832,1.133503,-2.660584,2.926866,-0.842661,cluster0,1
833,0.803937,1.190457,-0.924411,-0.489387,cluster0,1
834,-3.667982,0.467744,0.655679,-0.608393,cluster0,1
835,1.443687,-0.527257,1.019224,0.223712,cluster0,1
836,-0.96047,1.216752,-0.754098,-0.828064,cluster1,0
837,0.909773,0.519289,-0.188966,-0.176849,cluster1,0
838,1.070264,1.143141,-1.036853,0.470684,cluster1,0
839,-0.524272,1.316632,-0.937348,0.514373,cluster1,0
840,2.495973,1.172491,-1.418169,-0.254227,cluster0,1
841,1.589065,-2.523505,3.761202,1.386291,cluster0,1
842,1.813194,-0.278665,0.608424,0.465496,cluster1,0
843,2.44697,1.208724,-1.394063,0.203882,cluster1,0
844,-0.593605,1.057102,-0.634799,0.246197,cluster1,0
845,2.83109,-0.690688,1.406031,0.105098,cluster0,1
846,1.297411,-1.259714,2.116709,-0.799635,cluster0,1
847,-2.305444,0.970128,-0.312828,1.964335,cluster1,0
848,-2.697081,0.417108,0.536086,-0.51973,cluster1,0
849,-3.260197,0.985776,-0.266455,0.600942,cluster0,1
850,-5.505956,0.306612,0.939067,-0.20625,cluster0,1
851,2.655638,0.379838,-0.146372,-1.458555,cluster1,0
852,2.039034,-0.716282,0.581367,-0.614163,cluster1,0
853,-0.778788,1.41608,-0.868223,-1.116383,cluster1,0
