@relation 'AT: dr-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Standardize_principal components_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,8'

@attribute Instance_number numeric
@attribute -0.393MA_Detection_4-0.391MA_Detection_3-0.391MA_Detection_5-0.385MA_Detection_2-0.38MA_Detection_1... numeric
@attribute -0.42MA_Detection_Exudates_4-0.395MA_Detection_Exudates_6-0.387MA_Detection_Exudates_5-0.377MA_Detection_Exudates_7-0.336MA_Detection_Exudates_8... numeric
@attribute 0.454MA_Detection_Exudates_2+0.419MA_Detection_Exudates_3+0.415MA_Detection_Exudates_1-0.321MA_Detection_Exudates_7-0.316MA_Detection_Exudates_8... numeric
@attribute 0.709Diameter_of_Optic_Disc-0.593Distance_to_macula-0.335results_of_prescreening-0.11quality_of_assessment-0.094AM_FM_classification... numeric
@attribute 0.869quality_of_assessment-0.434results_of_prescreening-0.175AM_FM_classification-0.142Diameter_of_Optic_Disc-0.06Distance_to_macula... numeric
@attribute '0.79 results_of_prescreening-0.482Distance_to_macula+0.334quality_of_assessment-0.124AM_FM_classification-0.065MA_Detection_Exudates_3...' numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
301,1.147009,-1.483828,1.730502,-0.210861,-0.299249,-0.142989,cluster0,1
302,3.122224,1.332858,-1.755327,0.668402,-0.314422,0.662269,cluster0,1
303,1.999546,0.437925,-0.003642,0.533251,0.023446,0.45289,cluster1,0
304,-2.18486,0.379784,0.319992,-0.39888,0.162082,0.564549,cluster0,1
305,2.20981,-0.321445,0.924397,0.268765,-0.201571,0.493859,cluster1,0
306,3.333956,-0.44061,1.463327,-2.102981,-0.199869,-0.984355,cluster1,0
307,-4.060877,0.799681,-0.267175,-1.2257,-0.222088,-0.702761,cluster0,1
308,-2.461219,0.590634,0.703479,-1.992045,0.032394,-0.660237,cluster1,0
309,2.281702,1.08978,-1.245768,-1.196815,-0.113274,0.173649,cluster1,0
310,2.687672,-0.202322,0.723989,0.562741,-0.233038,0.564905,cluster1,0
311,0.740731,-6.567117,1.048914,-0.262175,-0.20054,-0.314995,cluster0,1
312,-2.827798,-1.054817,-1.886714,1.723426,-0.38434,0.484571,cluster0,1
313,-1.507147,0.630168,-0.214111,0.2292,-0.103449,0.215364,cluster0,1
314,2.330981,-1.312281,2.137571,0.363799,-0.078397,0.678053,cluster0,1
315,1.789637,0.627382,-0.320808,-1.577652,0.397884,0.362995,cluster0,1
316,2.295777,1.358353,-1.298579,-1.882691,-0.265138,-0.58714,cluster0,1
317,2.064616,-0.947261,2.174926,0.642341,-0.151875,-0.141196,cluster0,1
318,-4.000634,0.263438,0.785303,1.235731,-0.167357,0.659472,cluster0,1
319,-1.605273,0.879183,-0.001071,-0.34552,0.048033,0.303808,cluster0,1
320,-2.014775,0.882765,-0.273872,1.857815,-0.256116,0.753977,cluster1,0
321,-3.597841,1.020932,-0.121655,0.019479,0.022674,0.603183,cluster0,1
322,3.526033,-0.137951,0.80085,0.195249,-0.316204,0.154897,cluster0,1
323,-1.685689,1.102182,-0.208741,-1.853961,-0.012223,-0.641777,cluster0,1
324,0.667712,-1.356981,-1.128314,-1.659184,0.158409,-0.219216,cluster0,1
325,-1.822396,1.09727,-0.481226,-0.005373,0.100211,0.70803,cluster1,0
326,3.384961,-0.060054,0.651372,-0.344153,-0.250231,-0.027704,cluster1,0
327,-1.073539,0.223725,0.340077,-0.934856,0.113334,0.042969,cluster1,0
328,-1.405674,1.01594,-0.483184,1.790172,-0.215252,0.810632,cluster1,0
329,0.724208,1.353145,-1.402513,1.439242,1.1855,-2.593636,cluster1,0
330,-1.327028,0.113617,0.899896,-1.397139,0.138261,-0.174521,cluster1,0
331,2.221155,1.085679,-1.154467,0.986578,0.033888,0.854309,cluster1,0
332,-7.474711,-2.328501,0.267008,0.203788,-0.416606,-0.380521,cluster0,1
333,2.860552,-0.176558,0.08604,-1.821221,0.24125,-0.328464,cluster0,1
334,-2.940469,0.784254,0.355671,-0.488925,-0.321302,0.19799,cluster0,1
335,2.906077,0.267536,-0.099744,-0.255678,-0.016006,0.775972,cluster1,0
336,-2.21631,0.313356,-0.38223,0.001767,-0.039381,0.330055,cluster1,0
337,0.181084,-1.960942,0.611241,1.320014,-0.579068,0.145934,cluster0,1
338,1.764807,-0.013954,0.362907,0.023386,0.349073,1.112892,cluster1,0
339,-8.373669,-2.900998,0.827405,0.547096,-0.292671,0.037697,cluster0,1
340,2.296457,1.339125,-1.457589,-0.766918,-0.255186,0.063651,cluster0,1
341,-3.509509,0.905642,0.048903,0.773312,-0.225024,0.315365,cluster0,1
342,2.386423,0.359915,-0.375212,0.214976,-0.12884,0.812577,cluster0,1
343,-0.993408,0.387707,0.303858,1.857696,-0.12704,0.951354,cluster0,1
344,1.318105,-2.023293,2.013751,1.405016,-0.284355,0.734411,cluster1,0
345,-3.615646,1.150151,-0.492853,2.242247,1.476905,-2.071416,cluster0,1
346,2.333435,0.756024,-0.707841,-0.644481,-0.130208,0.367138,cluster0,1
347,-2.992921,-0.310848,1.331924,-0.240652,0.136868,0.511406,cluster1,0
348,2.260718,0.391236,0.313163,-1.008093,0.108626,-0.196204,cluster1,0
349,-3.935363,0.804472,0.500393,-1.812462,-0.03497,-0.613425,cluster1,0
350,0.582802,-1.92222,1.208856,0.263388,-0.47223,-0.202685,cluster0,1
351,-2.752463,0.933376,0.182956,-1.867144,0.014565,-0.540785,cluster1,0
352,-0.9049,0.321413,0.275191,0.501836,0.12462,0.890534,cluster0,1
353,2.665399,-0.93226,1.542063,0.334312,-0.347443,0.014984,cluster1,0
354,-1.721608,1.054114,-0.551331,1.423257,-0.066739,1.043548,cluster0,1
355,2.769758,1.623703,-2.154764,0.918654,1.700447,-2.456283,cluster0,1
356,2.446819,0.877926,-0.563886,-1.877454,-0.25721,-0.665565,cluster1,0
357,2.739403,-1.985387,3.15524,-0.418556,-0.072882,0.117053,cluster1,0
358,-0.831518,1.095243,-0.519043,0.448016,-0.14109,0.244907,cluster1,0
359,-2.17665,0.166382,0.710643,0.411445,-0.067433,0.339512,cluster1,0
360,0.170659,0.318328,0.1861,1.03625,0.072267,0.956311,cluster0,1
361,-2.767497,1.185451,-0.397849,0.148191,-0.070249,0.4,cluster0,1
362,2.401858,-2.796452,3.525769,2.003828,0.072074,0.812527,cluster0,1
363,2.793705,-1.644353,2.800262,0.161076,0.099313,0.031977,cluster1,0
364,-0.986689,-3.504152,-1.9922,-0.605514,0.141338,0.357033,cluster0,1
365,2.528822,1.074691,-1.023384,-0.184395,-0.370069,0.01791,cluster1,0
366,1.671296,0.681566,-0.320431,-1.21063,-0.24809,-0.263701,cluster0,1
367,2.80029,0.017445,0.109133,1.278752,0.091634,0.970967,cluster0,1
368,-1.984306,0.8043,-0.601504,0.074786,-0.074083,0.293783,cluster0,1
369,3.90271,-0.302767,1.076463,-0.292718,-0.269353,-0.007537,cluster0,1
370,2.40011,0.679868,-0.567343,-0.856958,-0.17582,0.098324,cluster1,0
371,-0.296293,0.892453,-0.346944,0.574416,-0.154389,0.20682,cluster1,0
372,2.103703,0.310351,-0.187669,-0.020919,0.053286,0.252976,cluster0,1
373,-0.614439,0.79061,-0.041356,-0.927727,0.093511,0.042767,cluster1,0
374,2.481262,-1.183265,1.977076,0.119912,-0.251895,0.118882,cluster1,0
375,-0.176844,-0.651305,1.651263,-0.003716,-0.700603,-0.914682,cluster0,1
376,-3.811764,-0.015167,1.59311,-1.067201,-0.050287,-0.407374,cluster1,0
377,-0.191551,-0.005262,0.712158,1.235059,0.152843,1.235626,cluster1,0
378,-3.794187,0.584835,0.866272,-0.970362,-0.110045,-0.402708,cluster1,0
379,-1.280749,1.249062,-0.661468,-0.576796,-0.017736,0.066915,cluster1,0
380,0.1237,-4.740936,3.493582,1.747391,-0.458389,0.252383,cluster0,1
381,-1.291893,1.010863,-0.524396,1.037336,0.009034,0.996225,cluster0,1
382,-2.838655,0.260614,0.946494,0.429597,-0.209823,0.006241,cluster1,0
383,-0.793927,0.914506,-0.327836,-0.982777,0.185724,0.307077,cluster1,0
384,0.09606,1.528424,-1.490902,1.555424,1.448571,-2.668249,cluster0,1
385,-0.661474,0.379221,0.456864,0.537858,-0.013083,0.490667,cluster0,1
386,-2.656931,1.030345,-0.178357,-0.664184,0.177737,0.58595,cluster1,0
387,0.30961,-0.660738,1.481028,1.798814,-0.652861,0.217365,cluster0,1
388,-1.03767,-1.051439,2.727392,-0.691046,-0.042201,-0.550648,cluster1,0
389,-1.623712,0.649468,0.211283,-0.643367,0.2486,0.667124,cluster0,1
390,-3.870529,0.803647,0.295206,0.308291,-0.07972,0.44893,cluster0,1
391,-0.785281,-2.070974,0.177222,-0.460345,0.029539,-0.095254,cluster1,0
392,-0.242362,1.35944,-0.96745,-0.283667,-0.069342,0.054195,cluster0,1
393,-3.628736,-2.090575,0.601966,0.774901,0.024857,0.680778,cluster1,0
394,-2.093916,0.727789,-0.11362,0.622644,-0.208928,0.185835,cluster0,1
395,-2.581212,1.113955,-0.318904,-0.24073,-0.010074,0.320348,cluster0,1
396,-2.964954,0.436985,0.851965,-0.655788,-0.018961,-0.053194,cluster0,1
397,-3.430597,1.183222,-0.086316,-0.596556,-0.151949,-0.214537,cluster0,1
398,2.376004,0.810029,-0.547432,-1.359805,0.234896,0.03034,cluster0,1
399,-1.354054,-5.950054,-1.688966,0.234898,-0.26598,0.399885,cluster0,1
400,-1.332864,-2.129914,0.479332,0.97931,0.101351,0.900024,cluster1,0
401,-1.267485,1.350863,-0.836859,0.216299,-0.137332,0.199795,cluster1,0
402,-1.184023,-0.249298,-1.456222,-1.873803,0.123684,-0.226926,cluster0,1
403,2.599936,1.222586,-1.396297,0.381881,0.083659,0.665905,cluster0,1
404,0.773586,-3.155768,-1.721454,-0.589773,0.030443,-0.097619,cluster0,1
405,1.211165,0.645847,-0.185805,-1.136152,-0.173091,0.012245,cluster1,0
406,3.08533,1.164323,-1.361506,-0.425221,-0.178673,0.397793,cluster1,0
407,2.797206,-1.550773,1.174793,1.177024,0.195882,0.994644,cluster1,0
408,-5.391571,0.869485,0.539468,-0.609735,-0.270916,-0.479558,cluster0,1
409,-0.770454,-0.431394,1.583284,0.324462,0.081576,0.478622,cluster0,1
410,2.055849,1.009435,-1.013092,0.400386,1.30636,-2.973156,cluster1,0
411,-2.772598,1.080252,-0.301194,0.956708,-0.182444,0.521933,cluster0,1
412,1.78866,0.597562,-0.362078,-0.516407,-0.078801,0.570151,cluster1,0
413,-4.038618,1.079846,0.289067,-1.688171,-0.087258,-0.633251,cluster0,1
414,2.457003,-0.88707,1.521691,-0.070867,-0.200148,0.326531,cluster0,1
415,-2.174498,1.155772,-0.758296,2.3661,1.371743,-2.362724,cluster0,1
416,2.127311,0.082198,0.477554,-2.631555,-0.106334,-0.78075,cluster1,0
417,-3.180869,-0.213273,1.474352,1.516229,-0.075378,0.917804,cluster0,1
418,2.840802,1.146723,-1.347513,0.749129,0.099133,0.88464,cluster1,0
419,-3.45322,0.582762,0.260014,0.614576,0.132366,1.150832,cluster0,1
420,-2.500339,0.422516,0.401692,-0.32771,0.032373,0.27384,cluster0,1
421,0.657581,1.160738,-1.057517,1.036996,-0.461162,0.563903,cluster0,1
422,-1.038945,1.089129,-0.418741,-0.191331,-0.108424,-0.016136,cluster1,0
423,-0.427393,1.262045,-0.929949,-0.9582,0.263466,0.582164,cluster0,1
424,2.836949,-1.73333,2.749257,1.043853,-0.358971,0.159723,cluster0,1
425,0.972545,-0.532557,1.599423,-1.167386,-0.266751,-0.475485,cluster1,0
426,1.728795,0.686656,-0.467722,0.415542,-0.248191,0.682295,cluster1,0
427,-1.438749,-1.34709,1.364493,1.782477,-0.133169,0.692725,cluster1,0
428,3.303382,-0.513757,1.027178,1.001256,-0.262341,0.70309,cluster0,1
429,2.105251,1.101231,-1.164323,-0.808138,0.359258,0.758159,cluster0,1
430,1.063582,1.062914,-1.121719,-1.6055,-0.286526,-0.438887,cluster0,1
431,2.919361,0.707083,-0.428858,0.208283,-0.52389,-0.298582,cluster0,1
432,1.495991,0.441003,0.049744,-0.379208,-0.199279,0.288654,cluster1,0
433,2.111923,1.05602,-0.838818,-1.993778,-0.108762,-0.252242,cluster1,0
434,-2.135616,0.956524,-0.103963,-1.067663,0.036344,-0.068673,cluster0,1
435,-4.662512,0.723753,0.540223,0.047444,0.064843,0.728302,cluster0,1
436,2.56641,1.038044,-0.750177,-1.484062,0.139361,-0.20662,cluster1,0
437,2.814724,1.334576,-1.467262,-1.319919,0.219195,0.107566,cluster0,1
438,1.854023,1.115753,-1.233378,0.91642,0.1227,1.126716,cluster0,1
439,3.071167,1.023346,-1.098645,0.152919,0.150113,0.664905,cluster1,0
440,-3.416216,0.776944,0.560161,-0.976185,0.002551,-0.092315,cluster1,0
441,1.476716,-1.279458,-1.502336,0.054942,0.201916,0.812547,cluster0,1
442,-4.137726,0.945795,0.543532,-2.084091,-0.345715,-0.667244,cluster0,1
443,-2.375322,0.395019,0.618587,1.085234,0.011768,0.970229,cluster0,1
444,2.371569,0.874373,-0.893709,-0.06675,-0.099549,0.781115,cluster1,0
445,-1.193729,1.558581,-1.002341,0.375978,-0.385755,-0.358913,cluster1,0
446,0.094121,-9.302845,0.13321,-1.171751,0.022806,-0.88529,cluster0,1
447,1.498811,1.364587,-1.553658,0.277798,0.109558,0.779134,cluster1,0
448,3.281611,-2.319065,3.610488,-0.127629,-0.288833,-0.374517,cluster0,1
449,1.542723,1.306684,-1.411598,0.587848,0.021619,0.691454,cluster0,1
450,0.231659,-0.488541,-0.055547,-0.208774,0.109568,0.41213,cluster0,1
451,2.672313,0.835307,-0.998915,1.269161,0.125028,1.223634,cluster0,1
452,2.538624,-0.409988,0.72301,3.025283,-0.384401,0.625196,cluster1,0
453,-1.26616,0.503024,0.406186,0.017986,-0.292264,-0.488004,cluster1,0
454,-0.171718,-0.225977,1.045195,1.867949,-0.105212,0.841453,cluster0,1
455,-2.303237,0.614577,0.300701,0.648141,-0.100763,0.455393,cluster1,0
456,2.579251,-2.096079,2.860719,-0.079535,0.0431,-0.237131,cluster0,1
457,-0.970634,-0.000168,0.527701,1.455155,-0.011018,0.986864,cluster1,0
458,1.23835,0.766534,-0.360495,-0.723759,-0.264442,0.017514,cluster1,0
459,-1.747628,0.550836,0.141387,-0.145695,0.120659,0.596276,cluster1,0
460,0.077412,1.247577,-0.991469,-0.712874,0.156646,0.400972,cluster1,0
461,-2.111433,-0.044756,1.133272,0.494473,0.124676,0.853397,cluster1,0
462,-1.325996,1.312168,-0.819726,0.667727,-0.135993,0.453589,cluster1,0
463,2.557302,-0.240472,0.536954,0.318614,-0.104576,0.783878,cluster1,0
464,-2.656792,0.30473,0.829956,0.177463,0.172067,0.89477,cluster1,0
465,-1.949134,0.338909,0.502689,0.838381,0.052612,0.92232,cluster1,0
466,2.299039,1.379013,-1.657901,-0.538813,0.290155,0.780003,cluster0,1
467,-2.274472,-0.681416,0.761781,0.969792,-0.227365,0.132408,cluster1,0
468,2.544051,0.241106,0.111915,0.006352,-0.227769,0.357565,cluster1,0
469,2.975309,-0.166366,0.410993,-0.427256,-0.113486,0.359676,cluster1,0
470,1.59043,0.698644,-0.357404,-1.667673,-0.017897,0.129394,cluster0,1
471,2.626643,-0.470281,0.862171,1.28167,-0.384885,0.570156,cluster0,1
472,-2.297084,0.673557,0.346473,-1.235573,0.032232,-0.216306,cluster0,1
473,-1.52442,-0.934389,2.013295,1.699005,-0.072459,0.808564,cluster1,0
474,-3.654599,0.648913,-0.686261,3.449336,-1.060334,-0.394383,cluster0,1
475,0.244665,0.075224,0.671117,-2.104052,-0.270998,-0.796698,cluster0,1
476,2.32649,0.846156,-0.650776,-0.879944,-0.218501,-0.002235,cluster0,1
477,1.30286,1.212545,-1.390205,-0.460094,0.381531,1.096124,cluster0,1
478,0.309823,1.438528,-1.579284,2.192497,1.540864,-2.081703,cluster0,1
479,2.69631,-2.248086,2.037447,-0.187228,-0.128341,0.261797,cluster0,1
480,-0.584367,0.284713,0.593985,-0.75367,0.046229,-0.091543,cluster1,0
481,-0.01047,1.470671,-1.306435,0.685931,-0.16134,0.357391,cluster1,0
482,-1.265439,1.23863,-0.595223,-1.419269,0.127508,-0.011483,cluster1,0
483,-3.812592,0.687039,0.490455,-0.722638,-0.076976,-0.137726,cluster1,0
484,-2.75166,-0.426208,0.227182,-0.984953,0.078874,0.00288,cluster0,1
485,-3.596255,0.802028,0.415722,-0.676562,-0.111258,-0.207954,cluster0,1
486,2.18916,0.496744,-0.209124,-0.844904,-0.092264,0.317949,cluster0,1
487,2.204781,1.231027,-1.47083,0.037863,0.289142,1.063717,cluster1,0
488,-3.331447,0.019148,0.993277,0.77455,-0.082217,0.549731,cluster1,0
489,2.5257,-0.228108,0.954043,-1.636324,-0.057164,-0.191734,cluster0,1
490,2.567085,-1.738289,1.606555,-0.807728,-0.222429,-0.345629,cluster1,0
491,0.576122,1.232996,-1.272945,1.833818,-0.021519,1.305801,cluster1,0
492,-2.144289,1.110997,-0.259134,0.34552,-0.188933,0.122473,cluster1,0
493,2.581754,1.450982,-1.650886,-0.672515,1.843372,-2.985809,cluster0,1
494,-1.420971,0.328944,0.005125,0.952595,0.015752,0.897274,cluster0,1
495,2.952383,0.990093,-0.999502,-0.222213,0.229803,0.667348,cluster1,0
496,2.25489,0.985109,-0.938865,-1.377992,-0.004797,0.334776,cluster0,1
497,0.320101,0.172359,0.793175,-1.709465,-0.367106,-0.831652,cluster0,1
498,2.473108,-1.16886,1.251245,-0.126254,-0.186876,-0.584341,cluster0,1
499,-0.511365,-0.202879,1.182429,-1.121311,-0.347536,-0.462109,cluster0,1
500,3.826999,-0.56479,0.472036,-0.738607,-0.214256,-0.197591,cluster1,0
501,-0.132372,-2.48779,1.942161,-0.452765,-0.349804,-0.348277,cluster0,1
502,-3.214628,0.589557,0.436687,-0.333922,0.25041,0.928465,cluster0,1
503,1.291269,-1.410022,1.87733,0.077456,-0.305283,0.026607,cluster1,0
504,-0.8822,-1.212501,1.760936,-0.083055,-0.207681,-0.596648,cluster1,0
505,-2.338322,0.10671,-0.465247,0.296741,-0.009294,0.578335,cluster0,1
506,-5.359657,-5.032938,-3.457217,-0.384994,-0.047666,0.49155,cluster0,1
507,0.375034,-2.551446,3.099386,2.583429,1.103659,-2.806651,cluster0,1
508,-3.872308,-0.408979,-1.048312,1.456597,1.594099,-2.169941,cluster0,1
509,2.919692,0.267188,0.131112,-0.231204,-0.150534,0.4996,cluster0,1
510,-1.17106,1.226266,-0.755825,0.54998,-0.152937,0.322958,cluster1,0
511,-3.309702,-5.406053,0.34926,1.354755,-0.163748,0.457945,cluster0,1
512,-3.663541,1.026956,-0.078988,0.276998,0.108441,0.975835,cluster1,0
513,0.372697,-2.873857,1.42492,-0.980845,-0.305278,-0.614761,cluster0,1
514,1.931455,0.821069,-0.685865,-1.385851,-0.235362,-0.295918,cluster1,0
515,-2.088101,0.980674,-0.21797,-0.650619,0.1782,0.551454,cluster1,0
516,0.664349,0.297876,-0.518716,0.239986,-0.090538,1.025523,cluster0,1
517,-0.285438,0.877633,-0.546212,0.890124,1.733939,-2.371354,cluster0,1
518,-1.138026,1.066842,-0.610839,0.610202,0.020256,0.798798,cluster1,0
519,-2.490474,1.217066,-0.331283,-0.643716,-0.055572,-0.020621,cluster1,0
520,1.275371,-0.291444,-0.065379,-0.344728,-0.401873,-0.254481,cluster0,1
521,-2.931309,1.144768,-0.481446,0.67158,1.58553,-2.691676,cluster0,1
522,-3.497887,0.705425,0.420871,1.032113,-0.199874,0.489756,cluster0,1
523,1.167875,0.281744,-0.378244,2.657603,0.234135,2.281297,cluster1,0
524,1.878146,0.215986,0.285942,-1.921387,-0.122442,-0.409101,cluster0,1
525,1.615171,0.958284,-0.729884,-1.566983,0.143704,-0.251281,cluster1,0
526,-5.184561,1.034906,-0.103446,2.300833,1.374515,-2.251757,cluster0,1
527,1.840387,0.369411,0.224785,-1.144989,0.218859,0.037491,cluster0,1
528,-0.770145,1.279545,-0.917018,1.136681,-0.180547,0.558435,cluster0,1
529,2.075291,1.049053,-0.948012,-1.059047,-0.19306,0.025159,cluster0,1
530,2.698338,0.148925,0.264476,0.273206,1.64667,-3.259928,cluster1,0
531,-2.038549,0.298912,0.328015,1.462438,-0.090097,0.890514,cluster1,0
532,2.360053,-0.334871,0.910632,-0.711656,-0.145486,0.076003,cluster0,1
533,2.911216,0.83173,-0.967179,1.034014,0.199778,1.28195,cluster1,0
534,-2.472552,0.675649,-0.295475,2.804807,1.177154,-2.699187,cluster0,1
535,1.69919,1.082532,-1.071234,0.514187,0.067056,0.722068,cluster1,0
536,2.036843,0.592136,-0.362504,-1.197353,-0.266164,-0.305717,cluster0,1
537,-4.089332,0.655759,0.671727,-1.07746,0.130922,0.240349,cluster1,0
538,2.998985,0.382005,-0.534365,0.551978,0.293112,1.192167,cluster0,1
539,0.374783,-2.602814,-1.525286,-0.831875,0.115942,0.05524,cluster0,1
540,-1.323048,1.181904,-0.584854,-0.419991,-0.029249,0.114253,cluster1,0
541,-1.471164,0.887209,-0.296632,-1.18071,-0.215516,0.065639,cluster0,1
542,2.494211,0.41367,-0.266518,-0.053769,1.375331,-3.107084,cluster0,1
543,-5.549932,0.200014,1.469817,0.383681,-0.090116,0.426024,cluster1,0
544,-1.022882,1.225717,-0.777127,-0.630581,0.160777,0.509401,cluster0,1
545,0.15092,1.224418,-0.875047,-1.063925,-0.308609,-0.156207,cluster0,1
546,2.505039,0.898459,-0.918374,2.631695,-0.333611,0.718059,cluster1,0
547,2.133096,0.914278,-0.942921,1.949655,-0.058697,1.108743,cluster0,1
548,1.609446,-0.060644,0.315468,1.268346,-0.275978,0.93009,cluster1,0
549,-0.438355,0.872129,-0.428858,-0.836809,-0.583505,-0.786135,cluster0,1
550,-2.526655,0.5532,0.327926,0.286141,-0.222205,-0.055814,cluster1,0
551,-3.043016,-0.452183,1.425583,0.13467,0.011372,0.357593,cluster0,1
552,-3.647819,0.832398,0.261701,0.467463,-0.186973,0.235103,cluster0,1
553,1.458595,1.442471,-1.486998,1.754631,-0.824701,-0.022128,cluster0,1
554,2.593995,-0.125362,0.273847,0.336859,-0.28472,0.379905,cluster1,0
555,-0.797637,0.191913,0.676879,-0.221327,-0.042739,-0.037172,cluster1,0
556,0.321279,1.502302,-1.257312,0.059965,-0.233436,-0.205653,cluster1,0
557,1.459869,0.276222,0.061558,-0.615338,0.079537,0.920169,cluster1,0
558,1.840671,-1.477482,1.251027,-0.47906,-0.197761,-0.009858,cluster1,0
559,2.781121,-0.134713,0.616028,0.345362,-0.175633,0.598099,cluster1,0
560,-6.044451,0.483355,1.063824,-0.449397,-0.10321,0.033474,cluster0,1
561,1.506278,-1.545261,2.350614,-0.659267,0.138221,-0.162387,cluster0,1
562,-5.241273,0.712738,0.745666,-0.822251,-0.027419,0.015495,cluster0,1
563,1.931476,-0.805753,1.163943,-1.007507,-0.091363,0.037906,cluster1,0
564,-3.663518,0.880181,-0.012017,1.866244,-0.216776,0.951854,cluster0,1
565,2.016055,0.751716,-0.636044,-0.344277,0.179585,0.513939,cluster1,0
566,-1.436053,-0.500772,1.309244,0.019694,-0.079135,-0.052156,cluster1,0
567,1.931633,1.340513,-1.546953,-0.06382,0.199317,0.799526,cluster0,1
568,1.816261,-0.454309,1.285798,-1.393677,-0.224329,-0.489769,cluster0,1
569,2.490656,1.976509,-3.106448,3.230151,-15.605107,-5.998309,cluster1,0
570,1.996024,0.171278,-1.083354,-0.597143,0.261875,0.597219,cluster0,1
571,4.251386,-0.906016,1.788749,0.30973,-0.286796,0.154288,cluster1,0
572,-0.261433,-1.015116,-1.234069,0.681181,1.722035,-2.517439,cluster0,1
573,-0.704556,0.971436,-0.493272,-0.269337,-0.271287,0.39003,cluster0,1
574,-1.264312,1.136498,-0.650962,0.364719,-0.031911,0.536595,cluster0,1
575,-6.699636,-6.281133,-0.653009,-0.766781,-0.164613,-0.397834,cluster0,1
576,-0.190811,-2.077812,3.205725,-0.767811,-0.237832,-0.272017,cluster0,1
577,1.729295,1.367373,-1.613459,1.177247,1.250895,-2.611374,cluster1,0
578,3.469363,0.754802,-0.587597,-0.88298,-0.291834,-0.278302,cluster1,0
579,1.839877,0.268489,-0.123357,0.542513,-0.231356,0.71112,cluster1,0
580,-0.43234,0.033294,0.528065,1.193521,0.129461,1.194389,cluster1,0
581,0.156732,0.120414,0.472205,-0.736952,0.163887,0.213571,cluster1,0
582,-1.79631,0.85175,0.036322,-0.928254,0.0875,0.112873,cluster1,0
583,2.021786,-0.344229,1.07609,0.188431,0.268064,0.772336,cluster1,0
584,-1.452187,-0.567319,0.4738,0.805015,0.037487,0.757454,cluster1,0
585,-5.6809,-1.240467,-0.896803,-1.507131,-0.238666,-0.792896,cluster0,1
586,-1.385741,0.744044,-0.110191,0.162905,0.005347,0.464906,cluster1,0
587,2.093034,0.408529,-0.075558,-1.516581,0.225957,-0.127739,cluster0,1
588,-5.129805,0.785498,0.735118,-0.551217,-0.183268,-0.253372,cluster0,1
589,-4.515912,-2.251516,-0.864767,-1.002909,-0.022706,-0.071054,cluster0,1
590,4.19533,-2.448408,3.46562,1.301998,-0.285356,0.402994,cluster1,0
591,-3.495524,1.020175,0.229929,0.783543,-0.424257,-0.217683,cluster0,1
592,-1.022826,0.927075,-0.131786,0.274826,-0.294637,-0.303887,cluster1,0
593,0.211804,-1.940532,1.739345,0.875324,-0.370925,0.328623,cluster0,1
594,-2.666548,-7.199225,-5.11429,-1.169546,-0.121379,-0.443911,cluster0,1
595,-1.964262,-0.049463,0.969349,-0.381145,-0.402379,-0.115218,cluster0,1
596,-3.434869,1.125416,0.072697,-1.207173,-0.079066,-0.375786,cluster0,1
597,1.906434,-1.65338,0.646909,-0.444956,-0.103925,-0.503255,cluster0,1
598,1.795306,0.527372,-0.355792,0.248046,-0.088161,0.957362,cluster1,0
599,-1.303403,1.139015,-0.573597,-0.293867,0.098112,0.521783,cluster1,0
600,-1.866435,-0.27947,1.54694,-0.511047,0.105984,0.176896,cluster1,0
601,3.341115,0.938052,-0.854375,-0.886353,-0.255213,-0.133508,cluster1,0
602,-1.165261,0.212773,0.515702,-0.572163,0.096818,0.19436,cluster1,0
603,1.783929,1.252087,-1.394632,0.807637,-0.359402,0.67113,cluster1,0
604,-3.10597,0.968497,-0.304888,0.820279,1.634063,-2.491617,cluster0,1
605,2.700762,-1.081639,1.223011,0.932582,0.163655,0.805656,cluster1,0
606,2.633915,0.355426,-0.030153,-2.206567,-0.141413,-0.62261,cluster1,0
607,0.751339,-2.367254,2.213202,-1.70751,-0.149369,-0.636555,cluster0,1
608,2.023114,1.071489,-1.051901,-0.472722,0.247118,0.634207,cluster1,0
609,2.578716,1.293578,-1.250478,-1.090366,0.107784,-0.047277,cluster0,1
610,1.272479,1.272026,-1.205405,-0.420957,1.366756,-3.19228,cluster0,1
611,-0.099835,1.293487,-0.841504,-0.743766,-0.105133,-0.328214,cluster1,0
612,1.433274,1.245192,-1.188118,-0.386617,-0.292568,0.202408,cluster1,0
613,-2.340374,1.258448,-0.300947,-1.360938,-0.035511,-0.367808,cluster1,0
614,2.498075,-0.045483,0.251563,-0.757624,-0.205981,-0.026225,cluster1,0
615,-2.88318,0.684296,0.311349,-0.366885,0.249107,0.887297,cluster0,1
616,-0.541142,1.164513,-0.88116,0.511071,0.07295,0.871639,cluster1,0
617,-2.715071,0.050801,0.675748,2.336291,1.625261,-1.865946,cluster1,0
618,2.572346,-1.639488,2.211908,-0.570293,-0.105912,0.065538,cluster1,0
