@relation 'dr_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A20-N200-T1.0E-4_clustered-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21'

@attribute Instance_number numeric
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Cluster {cluster0,cluster1}
@attribute Class {0,1}

@data
289,0.010875,-0.042324,-0.001335,0.017666,-0.023517,0.050151,0.032712,0.011277,0.037945,-0.002099,0.001709,0.009404,-0.007302,0.005107,-0.010303,-0.012837,-0.017268,0.037163,-0.010729,cluster0,1
290,0.053692,0.037738,0.024676,0.015077,-0.02375,0.007391,0.027821,-0.012336,-0.002294,-0.002692,0.004259,0.034422,0.004743,0.020225,-0.026308,-0.024891,0.012384,0.035141,0.036552,cluster0,1
291,-0.001584,-0.031728,-0.063988,-0.028391,-0.057824,0.025521,0.027947,0.0713,-0.020629,0.049973,0.016317,-0.027083,-0.000777,0.044323,-0.021712,-0.078976,0.043872,-0.005171,-0.012844,cluster0,1
292,-0.012994,0.016553,0.003053,-0.011175,0.021621,-0.000274,-0.016901,0.014463,-0.034146,-0.027981,-0.000893,-0.013361,-0.020868,0.000395,-0.002042,0.018375,0.000895,-0.010578,-0.024664,cluster1,0
293,-0.00073,-0.000569,0.006876,-0.008663,-0.030066,-0.010855,0.008675,-0.007108,0.014847,0.010446,-0.012821,-0.002862,0.002559,-0.012765,0.021677,0.002245,-0.022562,-0.004503,0.029301,cluster1,0
294,-0.00347,0.023447,0.00868,0.009323,-0.00808,0.013271,-0.029099,-0.016371,-0.042583,-0.034871,-0.007171,-0.031978,-0.032401,0.002608,0.007457,-0.008495,0.021414,0.002268,-0.000529,cluster0,1
295,0.003199,-0.019624,0.012029,0.014713,-0.004334,-0.023756,0.005883,-0.002031,0.04641,-0.003255,-0.004742,0.01267,0.060079,-0.006312,0.071734,0.022994,-0.030233,0.052894,-0.035476,cluster1,0
296,0.007293,-0.008048,0.015973,-0.016504,-0.016475,0.002896,-0.025127,-0.014481,-0.017499,-0.012538,-0.024261,-0.006796,-0.02519,0.008793,-0.001766,-0.020181,-0.01352,0.031779,-0.001677,cluster1,0
297,0.008126,0.005701,0.007514,0.024279,-0.047745,-0.00202,0.029134,-0.015451,-0.011303,0.039228,0.001799,0.01015,0.035,-0.013713,0.012736,0.005528,-0.018728,-0.017173,-0.00242,cluster1,0
298,0.010576,-0.015922,0.026894,-0.003639,-0.010311,0.033809,-0.010298,0.01276,0.018469,0.019781,0.000746,0.018098,-0.016664,0.000404,-0.026585,0.012963,-0.009566,0.016433,0.009341,cluster0,1
299,0.00351,0.03472,-0.000275,-0.007257,0.032715,0.00725,0.011121,0.008234,-0.009882,-0.019752,-0.008533,-0.002605,-0.022594,0.000713,-0.009631,0.00173,0.028837,-0.018036,0.011932,cluster1,0
300,0.000156,0.02903,0.010027,-0.022778,0.016924,-0.010267,-0.007676,0.00606,-0.003734,-0.023057,0.004666,-0.025345,-0.011434,0.011339,0.014954,0.011281,0.017796,0.013076,0.00889,cluster0,1
301,0.027842,-0.006501,-0.014356,-0.042801,0.016173,0.000099,0.057604,0.039387,0.002546,-0.005052,0.004053,-0.034089,0.001475,0.031685,-0.011928,-0.016092,0.039486,-0.021257,-0.020022,cluster0,1
302,-0.000665,0.025687,-0.000937,-0.032508,0.036842,-0.014684,-0.009099,0.042701,-0.013664,-0.010822,0.001779,-0.019851,-0.006974,-0.014819,0.027035,0.013375,-0.009381,-0.004645,0.032323,cluster0,1
303,0.017417,0.018003,0.013103,0.031445,-0.005839,-0.005228,-0.002305,0.011678,0.000461,0.005719,-0.041077,0.037633,0.007353,-0.012259,-0.010312,-0.043432,0.007511,-0.042096,0.020488,cluster1,0
304,-0.022037,-0.027822,0.020062,0.003965,-0.010821,0.008307,-0.006427,0.005686,0.025788,0.018123,0.01335,0.037007,0.008764,0.000468,-0.005459,0.042722,-0.035083,0.004656,-0.041593,cluster0,1
305,-0.005717,0.025231,-0.003087,0.02369,0.02111,-0.003864,-0.006963,0.002929,-0.023564,-0.008327,-0.011454,-0.002419,0.002587,-0.008009,0.010461,-0.015926,0.017334,-0.032083,-0.021789,cluster1,0
306,-0.012855,0.046284,0.00868,0.032349,0.044173,0.01489,0.00156,-0.01071,0.035297,-0.028319,-0.031038,0.034931,-0.040707,0.004989,-0.04998,-0.01438,0.066708,-0.069444,0.000974,cluster1,0
307,0.004289,-0.006518,0.018472,0.038637,-0.020532,0.012743,0.021505,-0.021738,0.085746,-0.053363,0.009477,0.027372,0.018638,0.031727,0.028217,0.031007,-0.021058,0.089208,0.002675,cluster0,1
308,0.00957,0.023625,0.010096,0.000903,-0.024279,-0.000443,0.019756,-0.069813,0.016881,0.012427,-0.002439,0.021274,-0.025687,0.009995,-0.024351,-0.009782,0.005206,0.011823,0.012101,cluster1,0
309,0.001437,0.02508,-0.004693,-0.029136,0.031513,-0.020905,-0.006758,0.027313,0.000181,-0.01189,0.020791,-0.007064,-0.024881,-0.006656,-0.019664,0.007231,-0.017683,-0.016875,-0.001921,cluster1,0
310,-0.004558,0.029808,0.004458,0.025678,0.024458,0.003434,-0.007958,0.011026,-0.031686,-0.018659,-0.016482,-0.00042,0.007747,-0.006832,0.014999,0.001064,0.022388,-0.02228,-0.019346,cluster1,0
311,0.064883,-0.31211,0.048657,-0.122886,-0.009437,-0.013358,-0.075137,-0.080823,-0.111286,-0.072689,0.220328,0.344738,-0.142355,0.089206,0.309134,0.044652,0.168787,-0.221801,0.071317,cluster0,1
312,-0.016896,0.004623,0.01452,0.006182,-0.08772,0.008467,-0.020325,0.056724,-0.010186,0.054035,-0.006743,-0.000653,0.030532,0.046722,-0.007064,0.043609,-0.013567,-0.02635,0.084281,cluster0,1
313,-0.014589,-0.000548,0.020268,0.009512,-0.036953,0.008932,-0.003005,0.028775,0.034808,0.004431,-0.002459,0.024482,0.017156,0.003027,-0.000106,0.021444,-0.011717,0.019376,0.00715,cluster0,1
314,-0.000077,0.032024,-0.007626,0.019175,0.005751,-0.030101,0.029608,0.007395,-0.018321,-0.005257,-0.017793,-0.005315,0.026502,0.005391,0.000324,-0.019833,0.036523,-0.077022,-0.040589,cluster0,1
315,0.012071,-0.007714,-0.012828,-0.029208,-0.008156,-0.022682,0.037911,-0.000967,-0.006002,-0.015576,-0.015531,0.017493,-0.020652,0.012528,-0.038402,-0.021839,-0.025568,-0.02386,-0.02927,cluster0,1
316,-0.005671,0.025418,0.01202,-0.028677,0.036755,0.001841,-0.024323,0.023948,0.018809,-0.02286,0.022964,0.002433,-0.045323,0.006213,-0.02537,0.016464,-0.001836,0.007716,0.020745,cluster0,1
317,-0.003458,-0.021783,0.027769,0.026131,-0.055392,0.05937,-0.015848,-0.0426,-0.035506,-0.041743,-0.065473,-0.042488,-0.02238,0.01312,0.020868,0.00099,0.03945,0.037442,-0.011152,cluster0,1
318,0.02701,-0.013478,-0.000474,0.025435,-0.023536,0.027887,0.048477,-0.001027,-0.013235,0.01481,-0.004693,0.01008,0.037672,-0.000853,0.021455,-0.001662,-0.013578,0.037572,-0.016769,cluster0,1
319,0.003549,0.002789,0.007395,0.022903,-0.013232,0.009401,-0.002538,-0.009136,0.00277,0.038751,-0.005748,0.039097,-0.009623,-0.018007,-0.029179,-0.023205,-0.018726,-0.033716,0.004601,cluster0,1
320,0.017433,0.008023,0.021385,0.005719,-0.038152,0.017092,0.005649,0.011759,-0.023092,0.047205,-0.013357,-0.005453,0.019027,-0.019645,0.010454,0.005643,-0.006079,-0.014021,0.043692,cluster1,0
321,0.009499,-0.064892,-0.034169,-0.026996,-0.007987,0.055602,0.044654,0.014239,-0.024302,0.055551,0.00563,-0.007486,-0.035257,-0.02057,-0.035075,-0.030966,-0.050417,-0.001161,-0.023733,cluster0,1
322,-0.017836,-0.005797,0.00663,0.031352,-0.006077,0.040038,-0.052563,-0.003791,-0.049924,-0.041004,-0.017914,-0.035316,-0.035955,-0.007285,0.017045,-0.014906,0.012753,0.009237,-0.024283,cluster0,1
323,-0.000659,0.006017,0.014549,-0.001364,-0.023328,0.001102,0.011994,-0.036696,0.048646,-0.021746,0.000521,0.017687,-0.021573,0.013657,-0.008202,0.009909,-0.010615,0.034815,0.012987,cluster0,1
324,-0.033262,-0.011172,-0.012029,-0.005172,-0.046707,-0.019228,-0.030821,-0.011423,0.020908,0.004952,-0.019111,0.017592,-0.028604,0.05289,-0.026487,-0.007982,-0.024735,-0.017015,0.021409,cluster0,1
325,0.003542,-0.00363,0.000771,-0.011926,-0.012997,0.003876,0.018085,-0.011785,-0.017985,0.030108,-0.000524,0.014251,-0.00229,-0.012286,-0.006195,0.010458,-0.032874,0.000664,-0.004597,cluster1,0
326,-0.012048,0.035781,0.002924,0.056602,0.031973,-0.003632,-0.031975,0.006359,0.016074,-0.018766,-0.023097,0.028998,-0.012463,-0.016694,-0.00399,-0.044863,0.029233,-0.060958,0.00159,cluster1,0
327,0.028106,0.019624,0.018396,-0.027038,-0.022147,-0.013352,0.020257,-0.019316,-0.010883,0.030471,0.002616,0.010789,-0.003605,0.009737,-0.035,0.006587,-0.002208,-0.006682,0.002893,cluster1,0
328,-0.013579,-0.018617,0.015292,0.01958,-0.006522,0.035998,-0.01045,0.016372,0.014606,0.027049,-0.026044,0.008716,0.010017,-0.031081,0.029704,0.019113,-0.01889,0.005741,0.023556,cluster1,0
329,-0.017348,-0.01487,-0.015029,-0.031457,0.030306,-0.011385,-0.008299,-0.02442,-0.035032,-0.009082,0.027022,-0.024985,0.04099,-0.034832,-0.032941,-0.00458,0.015061,0.005264,0.059759,cluster1,0
330,0.007031,0.002017,0.014388,0.007813,0.000354,0.005568,0.016431,-0.019689,0.021576,0.002769,-0.002869,0.041204,-0.000587,0.016271,-0.025418,0.002027,-0.005114,0.020077,-0.029519,cluster1,0
331,0.005163,-0.001408,-0.006976,0.011046,0.003667,-0.019735,0.009526,0.017225,0.024586,-0.017516,-0.042385,0.018973,0.011811,-0.020138,0.034803,-0.03669,-0.021307,-0.010509,0.023688,cluster1,0
332,0.049452,-0.14995,-0.076704,0.017543,-0.001457,0.107558,0.064624,0.019425,0.00876,0.058085,0.003656,-0.014367,-0.04028,0.049017,-0.023287,-0.098603,-0.052023,0.019948,-0.001855,cluster0,1
333,-0.009673,0.003446,-0.014642,-0.012094,-0.008788,0.00781,-0.00292,-0.013006,0.001026,-0.017218,-0.038784,0.033982,-0.044315,0.008204,-0.03697,-0.044485,0.008985,0.014656,-0.011887,cluster0,1
334,-0.012916,0.036636,-0.018821,0.006869,0.005704,-0.003541,0.00762,-0.059982,-0.021656,0.041627,0.023754,-0.010799,-0.020757,-0.028042,0.014522,-0.006755,-0.002201,-0.024868,0.011785,cluster0,1
335,-0.017279,0.018725,-0.020094,-0.010536,0.031704,-0.02274,0.013863,-0.0028,-0.019563,-0.028417,-0.010033,-0.01146,-0.006554,-0.007771,0.02238,0.007465,-0.004456,-0.022759,-0.03,cluster1,0
336,0.029816,0.00217,0.029814,0.005931,-0.0042,0.019792,-0.002548,-0.000646,-0.032064,0.046568,0.004996,0.021666,0.004837,0.017364,-0.033732,0.024301,-0.023002,-0.00688,0.012654,cluster1,0
337,0.005945,0.00333,-0.024568,0.020427,-0.080322,0.009595,-0.005559,0.068478,-0.008082,-0.017651,0.005322,-0.042824,0.017021,0.001958,0.00927,-0.034413,0.031156,-0.005318,0.001508,cluster0,1
338,-0.001087,-0.015163,-0.001959,0.015157,-0.041031,-0.041764,-0.033626,-0.045286,-0.039777,-0.028909,-0.009952,-0.006967,0.01393,0.005361,0.050155,-0.042232,-0.053586,0.050379,-0.059273,cluster1,0
339,0.010851,-0.078064,-0.138072,-0.002247,-0.077156,0.070097,0.132558,0.031311,0.022699,0.017643,-0.009149,0.005513,0.008344,0.002353,0.009616,-0.093225,-0.003507,0.101592,-0.045123,cluster0,1
340,-0.000083,0.025779,-0.003748,-0.037762,0.019038,-0.023166,-0.002705,0.026107,0.004596,-0.016547,0.01762,-0.020161,-0.025167,-0.002039,0.001479,0.001978,-0.009706,-0.011883,0.027871,cluster0,1
341,0.010201,-0.036709,-0.029841,0.02908,-0.035895,0.006004,0.058703,-0.003114,0.061434,-0.024656,-0.013369,-0.006741,0.021421,-0.009023,0.052331,-0.049782,-0.03014,0.033189,0.005601,cluster0,1
342,-0.005061,-0.019077,-0.040821,-0.008362,0.029461,-0.00547,0.004752,0.022933,-0.020599,-0.006948,-0.001566,-0.022486,-0.022483,-0.019155,0.017053,-0.053122,-0.026038,-0.028269,-0.023627,cluster0,1
343,0.009882,-0.027724,-0.005887,0.022356,0.002191,0.041334,0.01623,0.023056,-0.015296,0.037581,-0.03409,0.013793,0.009916,-0.028385,0.009127,-0.029703,-0.012287,-0.012217,0.001272,cluster0,1
344,0.010051,0.006982,0.013589,-0.030875,0.014757,-0.001367,0.011573,0.021153,-0.030616,0.013936,-0.002541,-0.044228,0.030565,0.011149,0.02858,0.044782,0.037292,-0.003984,-0.035166,cluster1,0
345,-0.015724,-0.052584,0.005171,-0.008071,-0.034615,0.009138,0.005296,-0.029506,-0.036959,0.0291,0.024661,-0.003561,0.072684,-0.033463,-0.05153,0.018319,-0.012287,0.004588,0.030864,cluster0,1
346,-0.017556,0.022977,-0.002251,-0.01372,0.018672,-0.031794,-0.010812,0.018244,0.013529,-0.019527,0.012422,-0.007457,-0.009474,-0.004377,0.009071,0.009393,-0.011609,-0.027388,-0.003402,cluster0,1
347,0.001288,-0.023851,0.000218,-0.024345,-0.020254,0.005932,0.0367,-0.020185,0.000472,0.034071,0.003718,-0.006103,0.01008,0.008292,-0.006099,0.019491,-0.021404,0.01814,-0.044156,cluster1,0
348,0.017761,0.023007,0.010524,0.041427,-0.004272,-0.004442,-0.00157,-0.02074,0.010525,-0.028071,-0.040396,0.048397,-0.011537,0.002553,-0.019279,-0.05267,0.013235,-0.015748,0.005045,cluster1,0
349,0.001345,0.00435,0.025377,0.002402,-0.030508,0.018366,0.007187,-0.037661,0.026628,0.018576,0.021363,0.027215,-0.018398,0.013196,-0.032747,0.025674,-0.009478,0.022879,0.000063,cluster1,0
350,0.074971,0.044523,0.038063,0.036224,0.000028,-0.016633,-0.038369,0.003929,-0.051838,-0.017789,0.033477,-0.004502,0.043319,0.044473,0.019537,-0.017762,0.027533,0.058033,-0.013146,cluster0,1
351,-0.011594,-0.03369,0.044112,0.005825,-0.01155,0.06821,-0.020083,0.036261,0.024228,0.011752,0.028061,0.043255,-0.029367,0.017401,-0.079384,0.063035,-0.024918,0.026423,-0.038099,cluster1,0
352,-0.016038,-0.038527,-0.007339,-0.015735,-0.035063,0.001378,0.016498,0.00324,0.006547,0.020332,-0.012746,-0.015345,-0.002347,-0.010889,0.006843,0.000278,-0.034036,-0.022358,-0.021017,cluster0,1
353,-0.011063,0.012125,0.026052,-0.017213,0.032468,0.029992,-0.025039,0.025358,-0.01803,0.008802,-0.01149,-0.027895,-0.009245,0.009927,-0.004962,0.030117,0.03876,0.00307,-0.015474,cluster1,0
354,-0.004905,-0.021882,0.009402,-0.00384,-0.009553,0.032407,0.007099,0.019755,-0.018147,0.033965,-0.011842,0.003984,0.008469,-0.022772,0.010802,0.030723,-0.030926,0.006952,0.001053,cluster0,1
355,-0.003717,-0.039614,0.001853,-0.044659,0.008272,-0.024845,-0.006037,-0.00426,-0.017683,-0.028736,-0.002567,0.008383,0.043672,-0.017395,-0.062132,-0.010999,-0.008358,0.011275,0.051831,cluster0,1
356,-0.00287,0.018794,-0.006391,-0.03008,0.037171,0.010771,0.015331,0.002606,0.015983,-0.049408,0.000551,-0.013273,-0.046446,0.013077,-0.010207,0.011743,0.015939,0.019342,0.008741,cluster1,0
357,-0.029026,0.024534,0.005164,0.026691,0.026452,-0.005338,-0.007951,-0.025178,0.005341,-0.00069,-0.030569,-0.000153,0.001361,0.005278,-0.001783,-0.00637,0.052194,-0.054874,-0.053557,cluster1,0
358,0.002403,-0.018391,0.006118,0.012844,0.003066,0.037876,-0.001626,0.010246,0.014046,0.015073,-0.021593,0.019717,-0.013731,-0.018845,0.000531,-0.011794,-0.01627,0.012641,0.019515,cluster1,0
359,-0.00857,-0.023091,-0.011726,-0.008002,-0.016148,0.009963,0.025391,-0.033295,0.030002,0.03115,-0.02398,-0.011816,-0.007231,-0.016054,0.024137,-0.017834,-0.010758,-0.000229,0.009105,cluster1,0
360,-0.0072,-0.010247,0.000229,0.035991,0.002126,-0.004998,0.006126,0.010167,0.025731,0.003092,-0.03211,0.036449,0.027175,-0.019228,0.025909,-0.019293,-0.018621,-0.016725,-0.014826,cluster0,1
361,-0.023708,-0.027896,0.023323,-0.001415,-0.022728,0.040734,-0.017486,0.010823,0.013618,0.038999,0.006292,0.009308,-0.015484,-0.01785,-0.016607,0.046563,-0.03383,-0.000949,0.001246,cluster0,1
362,0.004614,-0.016118,0.007104,0.000207,0.031496,0.016846,0.041033,-0.001343,0.007365,0.040935,-0.086113,0.015212,0.031348,-0.000778,0.016214,-0.016396,0.067522,-0.057676,-0.026456,cluster0,1
363,0.004177,0.002813,0.012836,0.008634,-0.000543,0.029103,0.037616,-0.024996,-0.007459,-0.008309,-0.081769,0.000684,-0.00337,0.014971,-0.01838,-0.007053,0.061717,-0.030861,-0.022652,cluster1,0
364,-0.067655,0.021649,-0.111361,-0.026346,-0.025788,0.044245,0.036629,0.061108,-0.072583,0.050463,-0.048303,0.112031,-0.005894,0.060298,-0.051553,-0.026368,0.018285,0.080803,-0.001511,cluster0,1
365,0.003233,0.030919,0.009127,-0.010957,0.019658,-0.004038,-0.019441,0.027507,-0.006564,-0.018931,0.00729,-0.012717,-0.018017,-0.004402,0.006687,0.000645,0.005389,-0.003561,0.030395,cluster1,0
366,-0.010456,0.008584,-0.013619,0.00835,0.047121,0.003258,-0.004396,0.016517,0.038105,-0.027763,0.004797,0.013201,-0.026718,-0.006117,-0.001099,-0.022776,-0.001225,-0.002581,-0.00625,cluster0,1
367,-0.003075,-0.012642,0.008868,-0.032366,-0.005751,0.007824,0.01629,0.011685,-0.022516,0.001848,-0.053109,-0.020587,0.001155,-0.005097,0.016948,0.019942,0.00296,-0.010385,0.002416,cluster0,1
368,-0.00204,-0.023187,0.010054,0.004571,-0.037615,-0.000625,0.006941,0.018425,0.043907,0.005914,0.002359,-0.000265,0.006099,0.002472,0.000409,0.007748,-0.035373,-0.007625,0.012195,cluster0,1
369,-0.004856,0.001681,0.018833,0.027276,-0.02114,0.045545,-0.06678,-0.02011,-0.094505,-0.048524,-0.007951,-0.041506,-0.044118,0.007656,0.005702,-0.010218,0.01578,0.034825,-0.037026,cluster0,1
370,-0.004977,0.014593,-0.004732,-0.010705,0.042042,-0.002303,-0.012235,0.034125,0.004539,-0.004027,0.010268,0.008567,-0.025367,-0.007324,-0.020027,-0.010565,-0.004121,-0.027092,-0.004467,cluster1,0
371,0.016737,0.011259,0.015753,0.003551,-0.01101,0.014632,0.016277,-0.002713,0.002627,0.003162,-0.027259,0.011905,0.002925,-0.005791,0.010367,0.000767,0.005464,0.010565,0.035927,cluster1,0
372,0.013302,0.006003,0.01559,0.012244,-0.003997,0.004457,-0.006492,0.014914,0.005871,-0.023852,-0.032532,0.022375,0.004709,0.002582,-0.002723,-0.011736,-0.003133,0.025449,-0.004911,cluster0,1
373,-0.003788,0.000921,0.015209,0.009072,-0.014908,0.005099,-0.010684,-0.01057,0.015356,0.022909,-0.006425,0.03278,-0.019707,-0.007352,-0.032303,-0.008619,-0.015262,-0.026053,0.003699,cluster1,0
374,0.01616,0.039326,0.021641,0.007618,0.02034,0.009092,0.000131,0.007577,-0.047346,-0.012618,-0.00959,-0.010297,0.014463,0.020128,-0.005685,0.01243,0.047833,0.003842,-0.033733,cluster1,0
375,-0.006741,0.011881,0.03955,-0.008961,-0.062757,-0.003867,-0.041349,0.023127,0.04959,0.014585,0.025325,-0.070576,-0.011247,0.019581,-0.002205,-0.009486,0.038627,-0.032,0.047366,cluster0,1
376,0.022267,0.019306,0.002097,0.003984,-0.017631,0.011715,0.041121,-0.070131,-0.000841,0.038096,-0.006341,0.016847,-0.007686,0.007381,-0.016419,-0.021703,0.014927,0.016041,0.004057,cluster1,0
377,0.005507,-0.007009,-0.005087,0.012447,0.002752,0.011795,0.040448,0.007678,-0.028311,0.023394,-0.03699,0.024907,0.024664,-0.015412,0.00067,0.001209,-0.00604,-0.031402,-0.029489,cluster1,0
378,-0.0164,-0.005594,0.020814,0.038828,-0.025932,0.028756,-0.003056,-0.037957,0.050333,0.007387,0.000449,0.030555,-0.006896,-0.001979,-0.005424,0.016585,-0.007615,0.021127,-0.00571,cluster1,0
379,-0.009982,-0.013222,0.01847,0.004262,-0.005665,0.021552,-0.004009,0.004708,0.033015,-0.006132,-0.002152,0.025272,-0.009231,-0.002302,-0.003902,0.029069,-0.026777,0.030173,-0.000222,cluster1,0
380,0.033695,-0.06091,-0.006775,-0.079483,0.072414,0.008685,0.009876,0.03472,0.004071,0.093418,0.003151,-0.071547,0.025354,0.057718,0.032895,-0.026675,0.033091,0.017349,-0.027907,cluster0,1
381,0.013733,0.007695,0.013915,0.006295,-0.020912,-0.003583,0.010466,0.01509,-0.022187,0.029599,-0.003822,0.02024,0.025284,-0.01339,0.002875,0.007773,-0.026233,-0.009925,0.005461,cluster0,1
382,0.015899,0.018844,0.024387,0.029959,-0.05481,-0.00801,0.01627,-0.020572,0.026935,0.009151,-0.005601,0.005697,0.030549,0.006345,0.015781,-0.008443,0.007024,0.005604,0.021853,cluster1,0
383,-0.024731,-0.026186,0.019238,0.005517,0.002314,0.021567,-0.008388,0.017778,0.033332,-0.004993,0.001598,0.040675,-0.009033,0.000006,-0.023988,0.045198,-0.036101,0.010409,-0.0382,cluster1,0
384,-0.002589,-0.042655,-0.000945,-0.024528,-0.001726,0.003859,-0.000623,-0.028338,-0.017603,-0.007435,-0.003935,-0.001193,0.0433,-0.028825,-0.047353,-0.018375,0.004053,0.022889,0.06936,cluster0,1
385,-0.0065,-0.001975,0.01258,0.037091,-0.004142,0.017777,0.006701,-0.003955,0.018729,0.002663,-0.030583,0.035128,0.013641,-0.013193,0.00898,0.003804,-0.002242,-0.007895,-0.006546,cluster0,1
386,-0.018513,-0.005798,-0.001397,-0.005759,-0.031745,-0.010957,0.011424,-0.041074,0.006013,0.024092,0.005775,0.009424,-0.008097,-0.013057,0.001334,0.018839,-0.040226,-0.00843,-0.014158,cluster1,0
387,0.014395,-0.000006,0.029131,0.027268,-0.053894,0.012643,-0.026697,0.061629,-0.014184,-0.006389,0.018775,-0.054267,0.030862,0.013796,0.019846,-0.016694,0.020612,-0.008501,0.002818,cluster0,1
388,-0.002182,0.005382,0.015988,0.015088,-0.008359,0.045546,0.089221,-0.037352,0.040852,-0.051062,-0.062025,0.009198,0.01151,0.032171,-0.005193,0.061667,0.066702,0.018675,-0.028767,cluster1,0
389,0.002267,-0.005115,-0.011802,-0.017329,-0.027785,-0.006422,0.034074,-0.037973,-0.030732,0.024396,-0.004722,0.003332,-0.012117,-0.005904,-0.01525,-0.00235,-0.028965,-0.015497,-0.023903,cluster0,1
390,0.032861,-0.006274,-0.019628,-0.000411,-0.019025,0.017621,0.077191,-0.027995,-0.020396,-0.000213,-0.005393,0.001414,0.018053,0.003,0.021344,-0.009997,-0.016818,0.051919,-0.010512,cluster0,1
391,0.086812,0.012165,0.01926,0.010464,-0.008338,-0.036768,-0.023372,-0.008302,0.063608,0.010448,0.000078,-0.00459,0.026173,-0.022786,-0.014806,-0.010343,-0.009272,0.032809,-0.017433,cluster1,0
392,0.031776,0.014564,0.009105,-0.023921,-0.013388,0.005606,0.018445,-0.006993,-0.020417,0.011509,-0.009611,0.005211,-0.016081,0.000578,-0.012037,-0.013745,-0.009613,0.018945,0.039291,cluster0,1
393,0.067688,-0.077875,0.011876,0.019118,-0.01579,0.005294,0.018243,-0.052138,-0.001665,-0.026619,0.03418,0.085203,0.009979,-0.020518,0.093269,0.043513,0.01756,-0.015082,-0.02725,cluster1,0
394,0.005775,-0.025342,0.007186,0.018062,-0.024158,0.009338,0.012438,0.018276,0.058321,-0.010692,-0.005837,0.003475,0.020188,-0.001871,0.031148,-0.011561,-0.024342,0.037721,0.008876,cluster0,1
395,0.021136,-0.010386,-0.012676,-0.004959,-0.010907,0.012989,0.040857,-0.014209,-0.006264,0.01301,-0.000547,0.012789,-0.003662,-0.004691,-0.000872,-0.019889,-0.028213,0.027237,-0.001082,cluster0,1
396,0.000825,0.000136,0.014118,0.031469,-0.01928,0.020129,0.012834,-0.023693,0.021208,0.014281,-0.002645,0.035318,0.002669,-0.000372,-0.0159,0.002643,-0.006836,0.006275,-0.013882,cluster0,1
397,0.029498,0.026925,0.019775,-0.001008,-0.032232,0.013944,0.017237,-0.037609,-0.021004,0.033105,0.010216,0.0148,-0.007898,0.001886,-0.01877,0.001121,-0.003565,0.022633,0.033271,cluster0,1
398,-0.00256,-0.010194,0.00604,-0.031328,-0.005362,0.003673,0.022559,0.009515,0.013817,-0.027141,-0.028315,0.009832,-0.032073,0.011085,-0.03498,0.014734,-0.008542,-0.014404,-0.005844,cluster0,1
399,0.022858,-0.027569,-0.087019,0.00729,-0.056181,-0.019046,-0.025458,0.047631,0.059006,0.0068,0.001958,-0.040047,-0.004761,-0.034897,-0.008239,0.017463,-0.001348,-0.038602,-0.0205,cluster0,1
400,0.067356,-0.003202,0.017764,0.038447,0.009666,-0.022937,-0.021482,0.00437,0.025853,0.044239,-0.007716,0.024191,0.046491,-0.030296,-0.006902,-0.001131,-0.019374,-0.022297,-0.033693,cluster1,0
401,0.022426,0.019014,0.009765,-0.014183,-0.021998,0.001254,0.01739,-0.020742,-0.011834,0.016816,-0.010521,0.000881,-0.004687,-0.006855,0.010161,-0.004727,-0.009218,0.020056,0.046233,cluster1,0
402,0.032857,-0.023321,0.033801,0.008237,0.006336,-0.002655,0.000984,-0.011794,0.01829,-0.020302,0.006735,0.008055,-0.006005,0.072493,-0.039192,0.062213,-0.05239,-0.00557,0.002979,cluster0,1
403,0.010547,-0.003452,0.000267,-0.012555,0.001567,-0.014579,0.006256,0.027127,0.010022,-0.013849,-0.031307,0.013419,-0.002909,-0.009876,0.009014,-0.023775,-0.023972,-0.007119,0.021901,cluster0,1
404,0.005136,0.00539,-0.080067,-0.01197,-0.037121,0.021367,0.012047,0.055704,-0.018523,0.036609,-0.048037,0.05497,-0.026973,0.016808,-0.066825,-0.073164,0.018493,0.006377,0.026627,cluster0,1
405,-0.005321,0.034186,0.003851,0.017986,0.021336,-0.024057,-0.001915,0.007233,0.017902,-0.048658,0.020091,0.016786,0.007421,0.010409,0.013752,0.010473,-0.003523,0.01523,-0.023722,cluster1,0
406,-0.011562,0.02048,-0.002836,-0.024963,0.03373,-0.01683,-0.019803,0.023963,-0.00614,-0.018819,0.008579,-0.010395,-0.021762,-0.009727,0.012192,0.008203,-0.015193,-0.005269,0.008528,cluster1,0
407,0.008321,-0.025283,0.015942,-0.041424,0.019735,-0.033482,-0.018775,0.005777,0.009144,0.028197,-0.027675,0.001288,0.026648,0.007063,0.045072,-0.012811,-0.004274,0.017819,-0.026175,cluster1,0
